ingredient_id,ingredient_sv,ingredient_en,category,milk_free,gluten_free,vegan,selling_price,image
1,bönburgare,bean patty,1,1,1,1,40,1.jpg
2,nötfärsburgare 100g,beef patty 100g,1,1,1,0,40,2.jpg
3,nötfärsburgare 200g,beef patty 200g,1,1,1,0,60,3.jpg
4,kycklingburgare,chicken patty,1,1,0,0,40,4.jpg
5,friterad halloumi,deep-fried halloumi,1,0,0,0,40,5.jpg
6,fiskfilé,fish filet,1,1,0,0,40,6.jpg
7,grillad aubergine,grilled eggplant,1,1,1,1,30,7.jpg
8,hummer,lobster,1,1,1,0,80,8.jpg
9,pulled jackfruit,pulled jackfruit,1,1,1,1,40,9.jpg
10,pulled pork,pulled pork,1,1,1,0,40,10.jpg
11,avocado,avocado,2,1,1,1,10,11.jpg
12,bacon,bacon,2,1,1,0,10,12.jpg
13,banan,banana,2,1,1,1,5,13.jpg
14,löjrom,bleak caviar,2,1,1,0,50,14.jpg
15,karamelliserad lök,candied onions,2,1,1,1,5,15.jpg
16,cheddar,cheddar cheese,2,0,1,0,10,16.jpg
17,koriander,cilantro,2,1,1,1,5,17.jpg
18,coleslaw,coleslaw,2,1,1,0,5,18.jpg
19,friterade lökringar,deep-fried onion rings,2,1,0,1,15,19.jpg
20,stekt ägg,fried egg,2,1,1,0,10,20.jpg
21,chèvre,goat cheese,2,0,1,0,10,21.jpg
22,jalapeño,jalapeño,2,1,1,1,5,22.jpg
23,kimchi,kimchi,2,1,1,1,10,23.jpg
24,krispsallad,lettuce,2,1,1,1,5,24.jpg
25,svampstuvning,mushroom stew,2,0,1,0,15,25.jpg
26,pepper jack-ost,pepper jack cheese,2,0,1,0,10,26.jpg
27,inlagd gurka,pickled cucumber,2,1,1,1,5,27.jpg
28,inlagd rödlök,pickled red onion,2,1,1,1,5,28.jpg
29,rå rödlök,raw red onion,2,1,1,1,5,29.jpg
30,rå gul lök,raw yellow onion,2,1,1,1,5,30.jpg
31,salami,salami,2,1,1,0,10,31.jpg
32,surkål,sauerkraut,2,1,1,1,5,32.jpg
33,tomat,tomato,2,1,1,1,5,33.jpg
34,vegansk ost,vegan cheese,2,1,1,1,10,34.jpg
35,aioli,aioli,3,1,1,0,5,35.jpg
36,ajvar,ajvar,3,1,1,1,5,36.jpg
37,barbecuesås,barbecue sauce,3,1,1,1,0,37.jpg
38,klassisk hamburgarsås,classic hamburger dressing,3,1,1,0,5,38.jpg
39,dijonsås,dijon sauce,3,1,1,0,5,39.jpg
40,guacamole,guacamole,3,1,1,1,10,40.jpg
41,hot salsa,hot salsa,3,1,1,1,5,41.jpg
42,hummus,hummus,3,1,1,1,10,42.jpg
43,ketchup,ketchup,3,1,1,1,0,43.jpg
44,majonnäs,mayonnaise,3,1,1,0,5,44.jpg
45,senap,mustard,3,1,1,1,0,45.jpg
46,sriracha,sriracha,3,1,1,1,0,46.jpg
47,teriyakisås,teriyaki sauce,3,1,1,1,5,47.jpg
48,tryffelmajonnäs,truffle mayonnaise,3,1,1,0,5,48.jpg
49,tzatziki,tzatziki,3,0,1,0,5,49.jpg
50,brioche,brioche,4,0,0,0,10,50.jpg
51,glutenfritt bröd,gluten free bread,4,1,1,1,10,51.jpg
52,veganskt bröd,vegan bun,4,0,0,1,10,52.jpg
53,fullkornsbrioche,whole wheat brioche,4,0,0,0,10,53.jpg
54,nachochips,nachos,5,1,0,1,20,54.jpg
55,potatisstrips,potato fries,5,1,1,1,20,55.jpg
56,sötpotatisstrips,sweet potato fries,5,1,1,1,30,56.jpg
57,chokladmilkshake,chocolate milk shake,6,0,1,0,40,57.jpg
58,pucko,pucko,6,0,1,0,25,58.jpg
59,läsk,soda,6,1,1,1,20,59.jpg
60,jordgubbsmilkshake,strawberry milk shake,6,0,1,0,40,60.jpg
61,vegansk mango lassi,vegan mango lassi,6,1,1,1,40,60.jpg
